"","AbrahamSimpson","HomerSimpson","MargeSimpson","PattyBouvier","SelmaBouvier"
"ADCY3",31.6366564590293,35.6259244492852,31.6142637439454,31.2091782229512,30.1736442094151
"AGRP",33.5363299704263,33.5849907757689,26.5253498850263,32.3368014439699,34.7320920183979
"ANKRD27",29.9864361665623,31.643986471712,32.9453600330314,33.1277345827658,32.4002119927039
"ANO4",34.9120754680393,32.9685038115489,31.3309080326127,30.738946038753,30.2700425383111
"BDNF",30.9406421444347,30.8829702383511,30.6874807490951,32.990169212959,34.6861202755485
"CADM1",30.2789872458508,31.4765412382539,33.038685783375,32.912140864628,32.3774503043633
"CADM2",29.4920827965054,32.2062617328955,30.9435578975813,32.9765798949416,32.4563401621957
"CALCR",30.2106514859807,31.7103171720768,33.1893100677799,33.475857770258,31.5253035036157
"CNR1",53.3292331507263,54.1700669147459,49.0886642082106,48.3376612629437,51.0303146318898
"CREBRF",30.1602295703832,14.9255097629701,33.5488196219105,34.4368759398817,24.1240279531816
"DPP9",42.7303751949714,42.1781799454229,35.2753213208869,36.7893469026759,44.9755270496186
"FTO",8.68448297086125,9.44795236152531,53.5012149118125,68.2911346207876,100.124296461502
"GIPR",56.9921239134703,28.842473292511,26.3943133000497,38.2546285374753,25.7853631693087
"GPR151",56.1652359133471,57.2770492625621,63.7555128876221,62.406287728655,68.7759787955826
"GPR75",28.9710808863588,45.3311301123081,40.029967009861,33.5266990790493,33.3204438025091
"KIAA0586",26.5608237788826,29.1053928461758,25.9830589772126,23.6373271750897,23.1587588799842
"KIAA1109",25.1212048230217,16.0829083889437,21.0285899707885,24.2333897747824,30.1201805220169
"KSR2",24.1698082386743,54.1879601991927,97.676303723104,34.948273950095,45.8598243204574
"LEP",14.9830643609491,31.6164749614728,32.9201423121217,24.9206342235736,34.4013282355757
"LEPR",97.6747871463027,58.5087366070447,17.7829920178619,4.97144960476763,4.8521367683797
"MC4R",8.40047595427727,6.88722360551528,62.5229585105611,76.9066252539741,62.5221038037641
"MRAP2",44.6343293396962,35.3593538383679,38.7555596358251,24.2185846319867,27.558745891007
"NRP1",19.6033229759002,32.2490646876752,23.4297491816873,32.2964686279878,32.7507983647613
"NRP2",31.1924908091897,26.0968982124098,41.3214291602359,47.6817001313258,46.2574524337347
"NTRK2",19.7839709240834,20.0771119092078,20.2939608808738,17.0268390439753,19.8844435936674
"PCSK1",56.7528677370624,68.0142281997937,43.3310827893318,40.7757881881217,46.7677281158523
"PDE3B",32.7150741890886,22.4905619767575,36.0250885992952,38.6114543782543,33.2421948210428
"PHIP",17.2029611104287,20.9877105906879,24.4596572093241,25.5236629287423,35.262229535076
"POMC",66.995082322856,61.8612059506409,36.8555084432162,46.951643420569,35.0385819947802
"PPARG",24.7049144074329,33.6775260810762,39.5244885352483,35.4795642548941,35.8122793835184
"ROBO1",24.9060911611375,19.7593002679123,18.113517904397,21.2854353516215,20.3202709882184
"SH2B1",61.2048469029063,69.5441090796697,30.619444182659,39.0397604176998,48.6555916739859
"SIM1",18.098985947954,19.5060117305571,60.779328350142,48.1435071868084,54.9085258441825
"SPARC",43.084688020446,40.504219128877,43.2162087832714,42.5523914908037,39.4680425892449
"TMEM18",21.2445722902622,25.2394556836597,8.1193611618684,17.2773394699873,25.9492392972613
"UBR2",32.3170842304381,37.9724679070002,146.5642403983,122.704564011506,96.9467186263193
"UHMK1",30.3934608025335,31.1010992606744,17.7421432408196,18.2051881585369,13.3415899445157
