"","AbrahamSimpson","BartSimpson","HomerSimpson","LisaSimpson","MaggieSimpson","MargeSimpson","PattyBouvier","SelmaBouvier"
"ADCY3",4333.00708517877,4848.36715521189,4062.99585418761,4696.93808444259,5039.28923168719,4765.28055627358,4796.28994922919,4909.06382879448
"AGRP",311.303,322.296,328.23595405041,332.224616952354,329.992135026632,432.543,352.540945706736,324.79876062443
"ANKRD27",4219.172,4243.195,4221.759,4244.98,4223.463,4220.359,4170.308,4219.4
"ANO4",3346.38150066852,4083.29413794798,3741.8332014129,4203.04860881574,4465.18699035179,4097.97878606741,4150.20864770298,4170.46569772175
"BDNF",3700.51549687354,3780.15200521052,3914.759,3824.02750203462,3798.62402771635,4100.359,3789.78691607925,3566.82901392119
"CADM1",8291.172,8443.195,8421.759,8316.98002177803,8346.9939059337,8350.76140476703,8329.308,8378.4
"CADM2",9285.78543501343,9011.91915941735,8978.759,9180.36465630452,9005.74922228566,9118.359,9068.308,9117.4
"CALCR",3359.172,3451.19174171812,3379.28087591575,3435.68638880159,3429.64400693254,3360.359,3310.308,3478.4
"CNR1",5254.23673230805,5649.59833524668,5668.06689110597,6170.98,5645.74450382328,5681.338917875,5971.60758373769,5597.41271537067
"CREBRF",4179.95525273921,7389.195,7367.759,7390.98,7369.463,5925.25034158734,5040.34746673637,7365.4
"DPP9",3618.38452513715,4219.195,3870.759,3832.88667774745,3614.71197772945,3960.60220252721,3977.308,2971.74551173718
"FTO",17010.5736560327,15314.2859294697,19606.108207407,8792.28257084873,14127.6709137939,8344.94630536986,6495.8962258553,5081.82973370724
"GIPR",1474.84430551104,2808.33248690826,2991.759,3271.62598211498,1571.72377209916,3305.359,2465.94869632395,2641.77298584096
"GPR151",2834.172,2858.195,2836.759,2859.98,2838.463,2835.359,2785.308,2834.4
"GPR75",1881.172,1905.195,1883.759,1906.98,1885.463,1882.359,1832.308,1881.4
"KIAA0586",7071.41872867999,8054.195,7949.759,7875.03836139526,7842.463,5825.73614669344,8098.308,4966.00264786926
"KIAA1109",14355.1408813682,15301.9064092289,13153.5619425112,15380.98,16113.463,15356.359,14444.0511777534,13895.4
"KSR2",17462.172,5545.83195122954,7622.56167868732,17581.98,13258.0072469104,5443.62024064917,16081.9855576827,13582.8128326356
"LEP",3211.172,3238.195,3213.759,3237.81078600285,3218.463,3212.359,3162.308,3211.4
"LEPR",3387.69295528183,8022.195,5318.54967416485,5812.04679035646,5125.17848818728,5112.26383416297,7949.308,6908.30054491696
"MC4R",1501.172,1525.195,1503.759,1526.98,1505.463,1502.359,1452.308,1501.4
"MRAP2",1858.5516213041,1993.13402542841,1926.759,1839.90459894051,727.891136024232,1881.87678762825,1994.80935389292,2168.4
"NRP1",5003.68578688908,5439.15028255486,5459.89218625397,7085.45676972589,5528.9502825712,5521.09094243928,5306.308,4854.4
"NRP2",6328.89704903595,4142.98842527173,6429.12430030095,4325.53316798518,6401.02554579433,4994.30513421115,4190.19157976905,4161.6035915385
"NTRK2",7490.92372116751,8134.25819411943,8184.07203244992,8529.6479404002,8498.25521142842,7624.25117670009,8553.91841485476,7650.77567395405
"PCSK1",4615.172,4947.195,4617.759,4948.98,4927.463,4616.359,4874.308,4923.4
"PDE3B",3868.93099625028,3528.86045792807,3316.759,3336.98,4799.89905674775,3322.45168085991,2747.10969998426,2583.3959710789
"PHIP",11711.172,16716.6604959175,16694.759,12389.2950400398,14514.9448407302,11714.359,11661.308,11984.0961200268
"POMC",915.172,969.195,941.894629748946,980.018184372296,949.463,966.359,896.308,945.4
"PPARG",1485.94809796995,1400.34718981049,1593.70710817035,1135.98,1315.8008362705,1570.359,1347.11554465983,1533.66550344964
"ROBO1",6627.20375633089,6663.195,6533.759,7296.98,6599.8158449578,6305.359,6272.308,6826.66196162404
"SH2B1",3416.60989296511,3260.83884156764,3269.84897472295,3069.52200241767,4699.463,3920.74608927041,3928.43491597173,2356.67140619301
"SIM1",7968.172,7992.195,8217.759,8240.98,8219.463,8097.42671879487,7919.308,8215.4
"SPARC",3235.172,3260.81329169477,3238.759,3263.98,3240.46297044692,3236.359,3188.08700386704,3235.4
"TMEM18",6455.172,6008.195,5986.759,6480.98,6459.463,6456.359,6406.308,6455.4
"UBR2",6580.40091519923,7702.195,6283.14646093058,4895.13556163363,7214.1359772155,3322.05512420411,3745.53587070126,4543.01809377256
"UHMK1",7981.172,8257.195,8235.759,8258.98,7985.463,7982.359,8184.308,7981.4
